name_ja,name_en,lat,lng,elevation,area_id,prefecture_id
横尾登山口,"",36.2760,137.6410,1620,37,20
岳沢登山口,"",36.2500,137.6390,1510,39,20
一ノ沢登山口,"",36.3256,137.7275,1260,37,20
笠新道登山口,"",36.3156,137.5503,1110,37,21
上高地田代橋登山口,"",36.2480,137.6320,1500,39,20
三本滝登山口,"",36.1060,137.5540,1830,38,20
開田口登山口,"",35.8928,137.4803,1330,40,20
山本小屋登山口,"",36.2258,138.1075,1940,33,20
八島湿原登山口,"",36.1031,138.1967,1630,33,20
女乃神茶屋登山口,"",36.1036,138.2950,1530,33,20
桜平登山口,"",35.9940,138.3470,1880,33,20
日向大谷登山口,"",36.0233,138.8414,630,26,11
小袖乗越登山口,"",35.8556,138.9439,1210,26,19
毛木平登山口,"",35.9089,138.7289,1460,27,20
みずがき山荘登山口,"",35.8933,138.5919,1520,27,19
上日川峠登山口,"",35.7489,138.8456,1585,25,19
西丹沢ビジターセンター登山口,"",35.4864,139.1389,540,29,14
御殿場口新五合目登山口,"",35.3608,138.7275,1440,32,22
八丁池口登山口,"",34.8628,139.0017,610,31,22
北御所登山口,"",35.7894,137.8044,1360,41,20
池山林道登山口,"",35.7189,137.8172,900,41,20
恵那山広河原登山口,"",35.4436,137.5972,910,41,20
尾白川渓谷登山口,"",35.7581,138.2367,1040,42,19
戸台口登山口,"",35.7200,138.1836,930,42,20
青木鉱泉登山口,"",35.7017,138.3047,1160,42,19
芦安登山口,"",35.6744,138.2389,880,42,19
奈良田第一発電所登山口,"",35.5460,138.3130,820,42,19
塩川登山口,"",35.5739,138.1831,1290,43,20
椹島登山口,"",35.5008,138.1825,1120,43,22
椹島ロッヂ登山口,"",35.4611,138.1572,1125,43,22
西沢渡登山口,"",35.4228,138.1397,1080,43,22
光岳易老渡口,"",35.3381,138.0839,1185,43,22
中宮道登山口,"",36.1800,136.7700,820,44,17
中出コース登山口,"",35.9342,136.6014,530,45,18
弥高登山口,"",35.4178,136.4064,650,46,25
大杉谷登山口,"",34.1853,136.1092,280,52,24
天川川合登山口,"",34.1736,135.9075,820,53,29
夏山登山口,"",35.3711,133.5461,780,55,31
一宇登山口,"",33.8536,134.0942,870,56,36
面河登山口,"",33.7678,133.1150,980,56,38
男池登山口,"",33.0822,131.2408,850,58,44
神原登山口,"",32.8281,131.3469,620,59,43
砂千里登山口,"",32.8844,131.1039,1250,58,43
大浪池登山口,"",31.9342,130.8617,1060,61,46
かいもん林道登山口,"",31.1800,130.5283,190,61,46
荒川登山口,"",30.3450,130.6100,600,62,46
有峰林道太郎平口登山口,"",36.4689,137.5447,1440,36,16
御殿庭登山口,"",35.3410,138.7340,1450,32,22
